,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,survey,filename,order_in_survey,Duration,Min_Pitch,Max_Pitch,Mean_Pitch,SD_Pitch,Median_Pitch,MAS_F0,VCD2TOT_Frames,Min_Intensity,Max_Intensity,Mean_Intensity,SD_Intensity,Median_Intensity,Jitter,Shimmer,HNR,file_order,num_word,speaking_rate,trustworthy,natural,boring,empathetic,humor,engaging,follow,gender,pitch,intensity,rate,flesch_score
0,0,0,0,0,1.0,2_M_intensity_medium_pitch_medium_rate_slow.wav,1.0,3.602675736961451,75.20420096739295,144.5321382556838,96.12767061996676,13.385072464812056,95.18162557116904,146.50395492359897,0.6246498599439776,41.432909871822176,77.10887934754822,71.57182740564811,6.028288216249243,71.06878335736477,0.0229243186304248,0.0792296959757852,8.86639982264141,2,10,166.54288195974272,0.7790133090956634,-0.2402346727983177,-0.0505374092585097,-0.4538936753180606,0.555855859798282,0.922289958528484,0.5021168423741142,M,medium,medium,slow,52.87
1,1,1,1,1,1.0,2_M_intensity_medium_pitch_high_rate_medium.wav,2.0,3.001859410430839,76.3593858551968,180.58927493992564,115.8108902371394,19.00135199369705,117.86425553405915,273.675623312806,0.7306397306397306,46.172621562131305,77.88518231312948,71.69945140302623,5.845050743811241,70.78291989519465,0.0294648362802891,0.0783829994349407,9.122881003945292,2,10,199.87611608829,0.5736759744072977,-0.6604002244198822,-0.095947194318495,0.4591657743717078,0.2956178578050979,-0.4455720074866834,0.8339215409332871,M,high,medium,medium,52.87
2,2,2,2,2,1.0,8_F_intensity_x-loud_pitch_medium_rate_fast.wav,3.0,5.1177777777777775,107.05028732455894,464.0247000517985,162.47891661290333,39.40258536345349,156.7633587864312,320.20640975071245,0.5570866141732284,-325.01331679448003,81.39831962586508,74.51599999671136,103.08846644745948,72.1471371360105,0.0266722197315126,0.0908604201786714,10.469302567561996,8,19,222.7529309596179,0.5392049596027224,0.5641850921624645,-1.115195176212476,-0.6772095099818959,-0.1936481087920711,-0.0075863412561032,-0.0874671411206638,F,medium,x-loud,fast,82.31
3,3,3,3,3,1.0,4_M_intensity_x-loud_pitch_high_rate_slow.wav,4.0,4.5692063492063495,78.3237134254976,189.3792089838157,126.11910440259771,21.17222895799696,127.33787115972984,229.1001280138659,0.6379690949227373,-1.3157023453811538,83.36323268700791,75.4914347143788,14.723055170784953,73.77850797577123,0.0249832678158537,0.0788397541251481,11.194764430343588,4,13,170.70798304731466,0.5736759744072977,-0.0253988913323136,-0.5339404250818804,0.0556511229457029,0.1811000932367027,0.3327059750337059,0.215571108041278,M,high,x-loud,slow,76.22
4,4,4,4,4,1.0,4_M_intensity_x-loud_pitch_medium_rate_slow.wav,5.0,4.464716553287982,75.22264600030317,145.82510202384591,102.50129281750598,14.92386076992736,102.50281270443354,176.1753660471561,0.5959367945823928,-4.121445159968297,82.32366287579475,75.49695682363533,14.823838754968977,74.2771096100044,0.0244814883288916,0.0803502646277404,10.785356844613007,4,13,174.70313976048024,-0.1508554261561187,0.5392049596027224,-0.7321101772867143,-0.2307362260206792,-0.560074642989468,-0.1508554261561187,0.6107640916359058,M,medium,x-loud,slow,76.22
5,5,5,5,5,1.0,6_M_intensity_medium_pitch_medium_rate_fast.wav,6.0,4.934920634920635,75.2477601246428,153.5929252968815,96.67179363202324,13.746957469045308,93.642364047664,180.95527727544447,0.5265306122448979,-324.8424643215261,78.06088358473744,70.8911341769572,73.19828781076366,69.91261278285043,0.0350384883433067,0.1038232302226614,7.940880031512688,6,19,231.0067545834673,-0.0876255264871178,0.0295093405053101,-0.3906713401818649,-0.4539012398508658,-0.2390654583848617,0.6823232236690892,-0.1591846585203011,M,medium,medium,fast,62.34
6,6,6,6,6,1.0,6_M_intensity_medium_pitch_medium_rate_slow.wav,7.0,7.651655328798186,75.01831797145252,153.75224461908684,97.76908342475836,15.021341094959896,93.63049089308078,157.02225428529533,0.5787401574803149,-324.07377770631786,78.94625515018471,71.24656805068408,59.70621603149992,70.46218939278376,0.026121733087625,0.0741207548794535,10.355015019364982,6,19,148.98736953158803,-0.0791379087564813,0.3959283101699016,-0.4540596252173198,-0.0876255264871178,-0.0791379087564813,0.4125867748982665,0.3505185251099163,M,medium,medium,slow,62.34
7,7,7,7,7,1.0,1_M_intensity_x-loud_pitch_low_rate_medium.wav,8.0,5.43124716553288,74.81403739647035,572.1153987726283,111.43197048013393,96.09678148363189,90.39545336731749,348.32003051891934,0.3296296296296296,-322.10384148628333,79.62646486647003,72.64653298966867,70.41105337585242,70.02149168868301,0.0359101469463406,0.1298801561873395,5.354545318107035,1,20,220.9437286550489,0.215571108041278,-0.0420497915278732,-0.3107829757844991,-0.7487686420150792,-0.0791379087564813,0.0295017759725048,0.2072494402099009,M,low,x-loud,medium,62.34
8,8,8,8,8,1.0,3_M_intensity_x-loud_pitch_medium_rate_medium.wav,9.0,7.494920634920635,74.8935446213842,575.272346730175,115.2041885329469,79.50367477998302,101.60220466464447,289.4677835435375,0.4450402144772118,-325.0115191211078,83.60789843334375,74.32428872946205,66.53820402750326,70.9988573492326,0.0316426094541669,0.1041667912486936,7.567691955688488,3,24,192.1301198695413,-0.0624870085609217,0.3243767426695235,-0.462381293048697,-0.6688802776177134,-0.3274338759800587,0.4125867748982665,0.5021168423741142,M,medium,x-loud,medium,86.2
9,9,9,9,9,1.0,7_M_intensity_x-loud_pitch_medium_rate_slow.wav,10.0,5.614104308390023,75.37168379667443,150.39416544840427,101.63487154652682,15.90444916231493,99.59464352812698,195.152073214054,0.5286738351254481,-323.0735965458222,81.75356618831185,74.69647194403414,75.14760998373308,73.36731256326382,0.0271706965648675,0.0822743057569486,9.580423597902348,7,21,224.43473273501303,0.9139607261643016,-0.096958023365497,-0.7654195422106389,-0.462381293048697,0.7074617415952853,0.9139607261643016,0.1523412083722771,M,medium,x-loud,slow,95.17
