,Unnamed: 0,survey,MTURK,Extraversion,Agreeableness,Conscientiousness,Emotional_Stability,Openness_to_Experience,trustworthy,natural,boring,empathetic,humor,engaging,follow,Q02
0,0,1,1,8.5,9.5,9.5,9.0,9.0,0.4219171818884205,-0.0539469129201789,-0.2175557937651859,0.6137590745845024,0.7134206578641488,0.2583083010434134,0.5498117770191417,2
1,1,1,2,9.0,7.5,9.0,7.5,9.5,0.89138098370032,-0.1391021276086034,0.4310348045577511,-0.0650256602991036,0.12148945591511,0.2392238965816807,0.6638557900099639,1
2,2,1,3,9.0,10.0,9.5,9.0,9.0,-0.2143887263596798,1.5128272249214465,-0.287932277036499,-0.3614758277133184,0.5210467804085119,1.1093951858230653,0.0419562113850634,2
3,3,1,4,8.5,7.5,8.0,8.0,8.0,0.9324626052995744,0.7613926791708262,-0.9982306462171856,-0.7090913949367614,0.5263956840561869,0.7072504230050412,0.7798206496223254,1
4,4,1,5,8.0,8.5,10.0,8.0,9.5,1.0842627093328885,-0.3860351790074198,0.1237383821124362,-0.1867874564204723,0.3271213635024876,0.4947900591782534,0.6857672641589935,1
5,5,2,6,7.5,6.0,7.5,7.5,7.5,1.100062213245545,0.203053329078384,-0.5153841265173487,0.0064865879501484,0.1922561415442998,0.4353343559209056,0.3996200702066198,2
6,6,2,7,8.0,7.5,8.0,8.0,8.0,0.047234242160397,0.9505351279395382,-1.3777417388928703,0.1158549755009365,0.0829485278746827,1.351421980345712,0.8297468850715861,2
7,7,2,8,7.5,8.0,8.0,8.0,7.5,0.7710754417141802,0.2422913322381077,-0.5036075446188717,0.1631540930476405,0.0685995183333821,0.5028290530951961,0.719943820476103,2
8,8,2,9,8.0,7.5,8.0,7.5,8.0,1.15082380173196,0.5483799913896344,-0.8316330902127219,-0.372359692514241,0.2657984035423699,0.5837810073172182,0.6194952930315039,1
9,9,2,10,8.5,8.0,8.0,7.0,8.0,1.2048780269291766,1.1099012563398742,-0.4905923126434609,-0.704094052982797,-0.8909116983758893,0.8622531781790086,1.01570845969695,1
10,10,3,11,9.0,7.5,8.5,8.5,8.0,1.045177486402345,0.7167656045845351,-0.3865866714805567,0.1283775650678122,-0.5324366616473734,0.4577870626555137,0.6423441858462898,1
11,11,3,12,9.0,9.0,9.0,8.0,9.0,0.7931753071055786,0.1986557436726198,-0.202402160330172,0.3348234168166734,0.657007633961525,0.3489580019591318,0.0840677711003935,2
12,12,3,13,8.5,8.5,8.5,8.5,9.0,-0.0316814943823941,0.1737525575303249,0.2943267263438273,0.3300410120581131,0.9931989405323762,0.3546138107505786,0.028605590024357,1
13,13,3,14,8.0,8.0,7.0,8.5,7.0,0.787897099186841,-0.0454300675802326,-0.1905536095494711,-0.2274010948198047,-0.1548393238351854,0.9704347262044372,0.8241779846791507,2
14,14,3,15,7.0,8.5,7.5,8.5,7.0,1.01092468389628,0.1840717819834522,-0.3378536087368828,-0.4037818267534281,-0.3103898531406365,1.0383884394925265,0.8186403832586707,2
15,15,4,16,8.5,8.0,8.0,8.5,7.5,0.865625126087748,0.6774256152992135,-0.8120424873737451,-0.1353219879343534,-0.938441508950814,1.189234764293112,1.2963776214359692,1
16,16,4,17,8.0,8.0,8.0,7.5,8.0,0.9561614971815802,0.6175064969033579,-1.231743663557962,-0.4300643770090093,-0.0199808053022155,0.9520530845449946,1.156067767239245,1
17,17,4,18,8.5,9.5,9.5,9.5,8.5,-0.6195570511240295,0.2335097096541973,1.3036252431440671,0.7143052832212214,-0.1387614775570053,0.2101606955823282,0.582431882793531,2
18,18,4,19,9.5,8.5,8.0,7.5,8.0,0.5633414386091936,-0.23843025984373,0.2004721378382599,-0.1935069231644748,0.0391968930511782,1.042562647487954,0.7649354945930457,2
19,19,4,20,8.0,8.0,7.5,8.0,8.0,0.7098745887061343,0.8068004064524795,-1.41492132651309,-0.3895147845423276,0.1793141748636101,1.036366327659456,1.0720806133737415,1
20,20,5,21,8.5,9.0,9.0,9.0,8.0,-0.2735755283188925,0.0883911489147445,1.211613406360201,0.7952713305400056,-0.1648247311457754,0.2515173446744201,0.3058927432609787,2
21,21,5,22,8.0,8.0,7.5,7.5,8.0,1.2135318701156688,0.3645513214122142,-1.284357366208207,-0.316826947258234,-0.0063675243680846,0.7645153908706975,1.264953255435937,1
22,22,5,23,9.0,9.0,8.0,8.0,9.0,1.0870706893311175,0.9550634276237816,-0.823146712627338,-0.1367089517491913,-0.9722425933033229,0.9022605229408474,1.1662750463555192,1
23,23,5,24,8.0,7.5,8.0,7.5,8.0,0.6563534078367371,0.8202140340345396,-0.6251267250687587,-0.0537148817105161,-0.7448716722160116,1.1752481788081663,0.7361833726015724,1
24,24,5,25,8.5,8.0,8.0,7.5,7.5,0.0341705399811608,1.26101844519644,-1.380190885001415,-0.0015437457331248,-0.0694062964971863,1.4681721181531344,0.723494109615306,2
25,25,6,26,9.0,9.0,8.0,8.0,7.5,0.6737734201845377,0.1702909731907793,-0.0984754817657201,0.4815818064454129,-0.0066166325856042,0.5036759069920023,0.4543414361100201,1
26,26,6,27,8.0,7.5,7.5,8.5,8.5,1.159583576433948,1.0576321591833209,-0.6093048025409972,0.1910451125529911,0.0738322723913363,0.1910451125529911,-0.0995477162878621,2
27,27,6,28,8.5,9.0,8.5,9.0,8.5,0.1021505492742797,0.3814866699438554,0.1378648349885654,0.5848026280598866,0.4172009556581411,0.3054665073903108,0.2853135689706814,2
28,28,6,29,8.5,8.5,8.0,8.0,8.0,0.5827164924488838,0.254603074913292,0.254603074913292,0.1669134030204523,0.202627688734738,0.254603074913292,0.4267903339132219,1
29,29,7,30,8.5,8.5,8.0,7.5,8.5,0.9459661516194704,0.6087509651233697,-0.4107879018986968,-0.1807155725454534,0.2067497640809497,0.6087509651233697,0.292714199925538,2
30,30,7,31,8.0,7.5,8.0,8.0,9.0,0.9552656964553884,0.5742887616416298,-0.5408847265730177,-0.0606850733119909,0.3877603635825449,0.3163317921539734,0.4036374717657904,1
31,31,7,32,8.0,7.5,8.5,8.5,8.5,0.7796733547516885,0.4823494676004531,-0.6565918884431137,-0.0787288449944344,0.5180637533147389,0.4823494676004531,0.472884690170206,2
32,32,7,33,9.0,7.5,8.0,8.0,8.0,0.8045386168195826,0.507658690875204,-0.4035227123768999,-0.0785148308658943,0.2277410802673597,0.5790872623037754,0.363011892976844,2
33,33,7,34,9.0,8.5,7.5,7.5,8.5,0.6956588992489372,0.4736578573216017,-0.3612601793310914,-0.1305732147325745,0.3047429464509147,0.5180580657070689,0.5711441967637173,2
34,34,8,35,,,,,,-0.6064784348631255,0.0126349673929801,0.6317483696490859,0.4548588261473413,0.3221916685210329,-0.2084769619842004,-0.5554526050068531,1
35,35,8,36,38.5,38.5,23.5,22.5,24.0,1.8835090386777464,1.6680679379199066,1.0250833701751658,1.038541960697104,1.2775615079700424,1.6175723103609314,1.3802887345236607,2
36,36,8,37,38.0,38.0,23.0,22.5,23.0,1.8030736628388055,0.5706058978205698,1.0515888429087192,1.3675597164747026,1.4871027892728224,1.8086949706301447,1.811679414408696,1
