,Unnamed: 0,survey,MTURK,Extraversion,Agreeableness,Conscientiousness,Emotional_Stability,Openness_to_Experience,trustworthy,natural,boring,empathetic,polite,engaging,follow,Q02
0,0,1,1,7.0,7.5,9.0,7.0,7.5,0.2473263020095709,-0.099247615791002,-0.1051045808460632,0.8263293246449607,0.4323271910199796,1.184617172555656,-0.1648192221645123,1
1,1,1,2,8.0,8.0,8.0,8.5,7.5,0.4758296830564394,0.5115439687707249,-0.8506162304739023,0.0962220123528058,0.7348811559044517,0.6723401887646381,0.6097992216248244,2
2,2,1,3,7.5,9.5,9.0,8.0,9.0,0.5792931861793708,0.2070225642081985,-0.5639066058825124,-0.1483578157828969,0.4890405710165905,0.8255969072734773,0.8255969072734773,2
3,3,1,4,8.0,9.0,8.5,8.0,8.0,0.269377958939751,0.1122122440848917,0.2646084349405121,0.633732246361472,0.4765665315066125,0.1074427200856528,0.3860598640810858,2
4,4,1,5,7.5,8.5,7.5,7.5,8.0,0.099757073797231,0.0640427880829453,0.3782674169750662,0.692492045867187,0.2191186494448747,0.3344073189242561,0.4976289926227099,2
5,5,2,6,8.5,7.5,6.5,8.5,9.0,1.0184337420979044,0.1111410322007376,-0.6930069956114548,0.0807127649291859,0.5674303963706882,0.5317161106564023,0.5264300922136684,2
6,6,2,7,8.0,9.0,8.5,7.5,7.5,-0.2970839743024842,0.1527629908375151,0.3503310268365626,0.7097528131203719,0.4717213395501339,0.2289407141229913,0.6692893755491814,2
7,7,2,8,8.0,9.0,9.5,9.5,10.0,0.7946274101979508,0.7253056539988949,-0.6483870054176671,-0.4173483424833036,-0.0749531919470529,0.7610199397131805,0.9311641073665484,1
8,8,2,9,9.0,7.5,9.5,9.5,9.5,0.5025951203111513,0.1594466910385451,-0.8808585257012902,0.2005909412138395,0.4230216021910667,0.7386006924409,0.8923177642200605,1
9,9,2,10,9.0,8.0,8.0,7.5,8.0,0.9501949514167,0.1726776331321523,-1.4235747528081384,0.5051131318745429,0.9144806657024144,0.4336845604459714,0.5188523816649413,1
10,10,3,11,8.5,7.5,8.5,7.5,7.5,0.0001204630946045,0.5388843806281118,0.0877608983761054,0.6427366797625419,0.5031700949138261,0.1461477008655717,0.2954654966449657,2
11,11,3,12,7.5,7.5,8.0,7.5,7.5,-0.5549727861528441,-0.351121086065132,-0.1493561888170206,0.3550560543032571,0.6892440802105088,0.8594682974235353,1.2945387719548411,2
12,12,3,13,7.0,9.5,8.5,9.0,8.5,1.11540393604177,0.5533374621177339,-1.2532772500300973,0.3347560555917201,0.3125068813662856,0.5310882878922993,0.4418989127345772,1
13,13,3,14,9.0,8.5,9.0,8.0,8.5,0.9706188173403396,0.1974919654041976,-0.5998487628432702,-0.2011783987195362,0.46710567795434,0.5984624114085236,0.5673482894554216,1
